,VideoID,Comment
0,9ItvwqiehD0,Lets hope his not planning any attack with those
1,9ItvwqiehD0,Faster internet connection is the coverup and sales pitch. They will be used for global surveillance in a AI lead cashless society. Sone they will introduce microchip implants for humans which will become mandatory
2,9ItvwqiehD0,I HATE clickbait titles.  8 minutes and I still don’t know how the satellites are deployed.  👎
3,9ItvwqiehD0,So they will become militarized
4,9ItvwqiehD0,But if the weather is bad so will be your internet
5,9ItvwqiehD0,Satellites should be built with a self destruct feature that destroys said satellite
6,9ItvwqiehD0,That's the go lol trash the earth then start trashing the sky's lol
7,9ItvwqiehD0,Terrible title    Wasted 9 minutes
8,9ItvwqiehD0,The title is misleading. The video did not talk about How Starlink Satellites Are Deployed. Therefore it earned a dislike.
9,9ItvwqiehD0,actually it's superb to watch satellites cross the night sky when looking at the stars.
10,9ItvwqiehD0,Can you say Balloons?
11,9ItvwqiehD0,I have seen one of these  satellite trains I flew over head and starting glitching in and out one second ist there the next it fades out. Comes back on and so on for a bit then just disappears. Did not look real at all it looked like a halo Gram glitching in and out. 9 lights in the sky with one brighter light out front. Fakest shit I have seen in a while
12,9ItvwqiehD0,its  just balloons lol  https://youtube.com/shorts/y5GV0gzVqck?si=EcrDBT1_QhdsR2yV
13,9ItvwqiehD0,Stop with the lies.
14,9ItvwqiehD0,"So i need faster internet????
Why do i need faster internet???
I don't!!!!!
Lies of the world"
15,9ItvwqiehD0,Lies lies lies lies.... It's a warning from heaven...
16,9ItvwqiehD0,"What I saw was not starling satellite, the lights came in at the same place and dissappear at the same place and then I saw them again flying horizontal to another direction 😳"
17,9ItvwqiehD0,its ballons https://youtube.com/shorts/y5GV0gzVqck?si=EcrDBT1_QhdsR2yV
18,9ItvwqiehD0,This is not space all these trials are still under the firmament .
19,9ItvwqiehD0,"Starlink has generated significant interest and excitement in the tech and internet connectivity communities. Its promise of providing high-speed internet access to remote and underserved areas is seen as a potential game-changer, especially for regions with limited access to traditional broadband options. Is it TRUE?"
20,9ItvwqiehD0,"Yes, I’m finally being able to communicate with my family who lives in the middle of the Amazon jungle and couldn’t have internet until they installed Starlink last week. He is also putting free internet for in many public schools so people can have access to knowledge by the river in the Amazon."
21,9ItvwqiehD0,"Edward L Keith, said that Space X, owes him. He's preparing a lawsuit against Elon for intellectual property rights. Not spaceX, Elon himself.

Personally: I think  Eddie  is crazy. All he did was consult, one time, during a lunch."
22,9ItvwqiehD0,Your title is misleading. Title is how it is DEPLOYED but the video is all about starlink can do and what might its effect in general.
23,9ItvwqiehD0,https://youtube.com/shorts/y5GV0gzVqck?si=EcrDBT1_QhdsR2yV
24,9ItvwqiehD0,"Starlink is a cover up for ""skynet"". The mark of the beast is coming closer."
25,9ItvwqiehD0,https://youtube.com/shorts/y5GV0gzVqck?si=EcrDBT1_QhdsR2yV
